epoch,error_rate,psnr,ssim,g_loss,g_loss_on_discriminator,g_loss_on_encoder,g_loss_on_decoder,d_cover_loss,d_encoded_loss,g_loss_on_perceptual,scheduler_encoder_decoder_lr,scheduler_discriminator_lr,duration
116,0.00001094,38.56715370,0.92208101,0.00258457,18.11930025,0.00056015,0.00001070,0.00000001,0.00000001,0.01054360,0.00012738,0.00012738,447
117,0.00001250,38.84677468,0.92463950,0.00250769,17.70523917,0.00052284,0.00001188,0.00678914,0.00082497,0.00954951,0.00012037,0.00012037,449
118,0.00001563,39.41296804,0.93598473,0.00203629,13.08954700,0.00045927,0.00001724,0.00004838,0.00005821,0.00957041,0.00011354,0.00011354,439
119,0.00001563,39.36773835,0.93688367,0.00209847,14.10705842,0.00046503,0.00001150,0.00000712,0.00000522,0.01077859,0.00010688,0.00010688,450
120,0.00001406,38.89634134,0.93300571,0.00223996,14.96715867,0.00051983,0.00001037,0.00000354,0.00000139,0.01197620,0.00010041,0.00010041,450
121,0.00001563,39.20313195,0.93650953,0.00223722,15.01907765,0.00048171,0.00001385,0.00000489,0.00000141,0.01151179,0.00009411,0.00009411,446
122,0.00000625,39.29305156,0.93717736,0.00217988,15.34968050,0.00047243,0.00000644,0.00000141,0.00000083,0.01080375,0.00008801,0.00008801,447
123,0.00001094,39.46813244,0.93847494,0.00221076,15.60923041,0.00045331,0.00000972,0.00000075,0.00000045,0.00993009,0.00008209,0.00008209,448
124,0.00001250,39.34057475,0.93701271,0.00225752,15.86827677,0.00046632,0.00001066,0.00000081,0.00000028,0.00977335,0.00007636,0.00007636,450
125,0.00001094,39.25613517,0.93558366,0.00228063,16.09246848,0.00047586,0.00000997,0.00000036,0.00000017,0.00958561,0.00007083,0.00007083,439
126,0.00001094,39.04606969,0.93296260,0.00232030,16.24741640,0.00049911,0.00000986,0.00000019,0.00000014,0.00978741,0.00006549,0.00006549,450
127,0.00001250,39.02188719,0.93246034,0.00235211,16.49166943,0.00050158,0.00001057,0.00000025,0.00000012,0.00956849,0.00006035,0.00006035,449
128,0.00000781,39.08699176,0.93321810,0.00234225,16.78369493,0.00049403,0.00000781,0.00000010,0.00000008,0.00917774,0.00005541,0.00005541,450
129,0.00001719,39.44011037,0.93646379,0.00235972,16.71438136,0.00045616,0.00001464,0.00000021,0.00000013,0.00857293,0.00005067,0.00005067,442
130,0.00000469,39.30750191,0.93477717,0.00229302,16.97120461,0.00046962,0.00000398,0.00000006,0.00000006,0.00864572,0.00004615,0.00004615,448
131,0.00001406,39.33755231,0.93474192,0.00240377,17.11363195,0.00046625,0.00001429,0.00000004,0.00000005,0.00832330,0.00004182,0.00004182,450
132,0.00000937,39.27897516,0.93350796,0.00236849,17.02617371,0.00047247,0.00001121,0.00000022,0.00000012,0.00813311,0.00003771,0.00003771,445
133,0.00000937,39.04022195,0.93009500,0.00236104,17.02909949,0.00049991,0.00000719,0.00000003,0.00000004,0.00863042,0.00003381,0.00003381,447
134,0.00000625,39.02618377,0.92959938,0.00237330,17.27932826,0.00050088,0.00000581,0.00000004,0.00000003,0.00863958,0.00003012,0.00003012,450
135,0.00000937,39.07425221,0.93039879,0.00238327,17.36810367,0.00049562,0.00000627,0.00000003,0.00000002,0.00881223,0.00002665,0.00002665,448
136,0.00000469,39.36160977,0.93338161,0.00235603,17.55183724,0.00046347,0.00000548,0.00000002,0.00000002,0.00825799,0.00002339,0.00002339,441
137,0.00001250,39.26273513,0.93195557,0.00243806,17.73914813,0.00047424,0.00001062,0.00000002,0.00000001,0.00837453,0.00002035,0.00002035,448
138,0.00001094,39.14937696,0.93038398,0.00245303,17.95716101,0.00048672,0.00000851,0.00000002,0.00000001,0.00855299,0.00001753,0.00001753,450
139,0.00000937,39.06303357,0.92890047,0.00247318,18.16606840,0.00049647,0.00000741,0.00000001,0.00000000,0.00860040,0.00001493,0.00001493,447
140,0.00000937,39.03408040,0.92863099,0.00247909,18.30338172,0.00049972,0.00000625,0.00000001,0.00000000,0.00865507,0.00001255,0.00001255,441
141,0.00000625,39.09072745,0.92925615,0.00248636,18.51395049,0.00049338,0.00000561,0.00000001,0.00000000,0.00855085,0.00001040,0.00001040,450
142,0.00001563,38.91770537,0.92732392,0.00258334,18.62328310,0.00051328,0.00001190,0.00000015,0.00000000,0.00887799,0.00000847,0.00000847,447
143,0.00001094,39.11708816,0.92993239,0.00248346,18.31692493,0.00049027,0.00000762,0.00000002,0.00000003,0.00853215,0.00000676,0.00000676,447
144,0.00001406,39.34514109,0.93290353,0.00249775,18.35972508,0.00046521,0.00001144,0.00000001,0.00000001,0.00821294,0.00000527,0.00000527,444
145,0.00001406,39.55605383,0.93536380,0.00249600,18.39925238,0.00044312,0.00001337,0.00000001,0.00000001,0.00792636,0.00000401,0.00000401,450
146,0.00002344,39.61626577,0.93601776,0.00258590,18.53762533,0.00043699,0.00002169,0.00000001,0.00000000,0.00782038,0.00000298,0.00000298,449
147,0.00001250,39.56627809,0.93556655,0.00247529,18.56329127,0.00044206,0.00000977,0.00000001,0.00000000,0.00792286,0.00000217,0.00000217,441
148,0.00001875,39.47225463,0.93459085,0.00256669,18.59124140,0.00045173,0.00001748,0.00000001,0.00000000,0.00810235,0.00000158,0.00000158,450
149,0.00001406,39.43806136,0.93420356,0.00251256,18.65589456,0.00045530,0.00001100,0.00000001,0.00000000,0.00816737,0.00000120,0.00000120,448
150,0.00001250,39.41318120,0.93394192,0.00252342,18.68264070,0.00045792,0.00001152,0.00000002,0.00000000,0.00820256,0.00000103,0.00000103,449
